interval,architecture,arch_list,lambda,train_mae_pm,train_r2_pm,val_mae_pm,val_r2_pm,val_mae_winding,val_mae_tooth,val_mae_yoke,training_time_sec,timestamp
10.0,"Small [32, 16]","[32, 16]",0.01,0.17154225166032347,0.9998480013681649,0.274447575815179,0.9993748399343567,0.693577494962086,0.5090412355166283,0.3563308178640964,71.11049389839172,2025-10-27T02:54:11.829382
10.0,"Small [32, 16]","[32, 16]",0.1,0.15993168275536668,0.9998649475551178,0.2093742883041034,0.9995819473230777,0.7202604095153384,0.5422786659571307,0.33939816715674964,71.01788020133972,2025-10-27T02:55:22.847262
10.0,"Medium [64, 32]","[64, 32]",0.0,0.1318590305162569,0.9998954638680139,0.21103653168245734,0.9995465358439579,0.5737806500333784,0.34158473312959764,0.21292011900508612,71.42404747009277,2025-10-27T02:56:34.271310
10.0,"Medium [64, 32]","[64, 32]",0.0001,0.13090815413234777,0.9998908698882133,0.24171953926365414,0.9994750457401143,0.6648767527438482,0.37025244685845926,0.21293503822974383,72.28211998939514,2025-10-27T02:57:46.553429
10.0,"Medium [64, 32]","[64, 32]",0.001,0.18318255626716837,0.999838747921329,0.29178344819052504,0.999323362617577,0.6476758426438965,0.38222023160567326,0.1962873881271118,72.79975008964539,2025-10-27T02:58:59.353180
10.0,"Medium [64, 32]","[64, 32]",0.01,0.16425520083139342,0.9998668708773897,0.22542325557797452,0.9995215670841032,0.6282163621879765,0.5130350270488697,0.27824757900939623,72.78196120262146,2025-10-27T03:00:12.135141
10.0,"Medium [64, 32]","[64, 32]",0.1,0.20198151390304897,0.999807074829952,0.360371314893234,0.9991045634897174,0.7868352469180585,0.653992160217524,0.4534682963902246,72.39254856109619,2025-10-27T03:01:24.527690
10.0,"Large [128, 64, 32]","[128, 64, 32]",0.0,0.2983436106014241,0.9996898785108116,0.5076049390950326,0.9984026012041592,0.5823785135280414,0.360090680611764,0.3889415760255476,77.53196668624878,2025-10-27T03:02:42.059656
10.0,"Large [128, 64, 32]","[128, 64, 32]",0.0001,0.17015844005942646,0.9998453826189903,0.34713792553609446,0.9990885098546931,0.6343174870582897,0.3446994500783637,0.24330008124739386,76.92271208763123,2025-10-27T03:03:58.997990
10.0,"Large [128, 64, 32]","[128, 64, 32]",0.001,0.1639020344236621,0.9998635067098829,0.2164373413209897,0.9995476890945459,0.6347487771929499,0.29551851868378926,0.19629609895436345,77.73506426811218,2025-10-27T03:05:16.733054
10.0,"Large [128, 64, 32]","[128, 64, 32]",0.01,0.22102397766469462,0.9997910344421607,0.35256608339731305,0.9991026174999744,0.6370508690257711,0.4646399524265387,0.29812390647827297,77.17268061637878,2025-10-27T03:06:33.905735
